File;Path;Type;Size;Size (octets);Modification;Creation;Owner;SID;NT account description;Attributes
rainbow_scene2.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;49,32 KiB;50510;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
refraction.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;22,78 KiB;23336;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
seesaw.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;32,22 KiB;33001;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
SquareWheels.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;107,91 KiB;110500;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
swing.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;33,15 KiB;33948;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
tangram.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;23,74 KiB;24316;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
tipping_truck.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;68,1 KiB;69741;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
two_track.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;221,88 KiB;227209;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
watertower.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;41,92 KiB;42929;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
waveguide.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;18,62 KiB;19077;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
wheel.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\lessons;Algodoo Scene Package;244,41 KiB;250282;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Anti-gravity room.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;16,06 KiB;16448;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Cause and effect.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;62,97 KiB;64485;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Chaos pendelum.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;11,91 KiB;12204;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
CoolPlot.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;31,67 KiB;32435;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Cycloid.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;24,74 KiB;25339;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Fountain.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;57,6 KiB;58989;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Gears.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;16,07 KiB;16459;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Gravity car.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;57,42 KiB;58800;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Hart's A-Frame.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;316,69 KiB;324291;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Keyboard.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;7,46 KiB;7647;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Labyrinth (inverted).phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;71,92 KiB;73653;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Labyrinth.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;71,28 KiB;72994;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
ladder.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;106,29 KiB;108846;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
LaserCircle.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;71,02 KiB;72726;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
